name	default	mididev	midictl	global	smooth	label
post_bloom_amount	0	codev2	s9	1	1	bloom
post_bloom_distance	0	codev2	s13	1	1	bloom distance
post_bypass	0			1		post bypass
post_echo_length	0.1	codev2	s1	1	1	echo length
post_echo_mix	0	codev2	s5	1	1	echo mix
post_contrast	0			1	1	contrast
post_saturation	.8			1	1	saturation
post_feedback_mix	.2	codev2	s23	1	1	feedback mix
post_feedback_delay	.1	codev2	s24	1	1	feedback delay
post_feedback_delaymix	.3	codev2	s28	1	1	feedback delay mix
post_feedback_scale	.5	codev2	s27	1	1	feedback scale
post_feedback_twist	.5	codev2	s31	1	1	feedback twist
time_rate	.5	codev2	s4			time rate
pointwarp_rate	.6	codev2	s3			point warp rate
distance_rate	.6	codev2	s7			distance rate
angle_rate	.4	codev2	s11			angle rate
size_rate	.3	codev2	s2			size rate
spin_rate	.3	codev2	s6			spin rate
